Time: 2025-02-20 15:20:30, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:30, FPS: 19, Objects Detected: 3
Time: 2025-02-20 15:20:30, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:30, FPS: 17, Objects Detected: 3
Time: 2025-02-20 15:20:30, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:30, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:30, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:30, FPS: 18, Objects Detected: 4
Time: 2025-02-20 15:20:31, FPS: 17, Objects Detected: 3
Time: 2025-02-20 15:20:31, FPS: 19, Objects Detected: 3
Time: 2025-02-20 15:20:31, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:31, FPS: 17, Objects Detected: 4
Time: 2025-02-20 15:20:31, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:31, FPS: 19, Objects Detected: 3
Time: 2025-02-20 15:20:31, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:31, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:31, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:31, FPS: 19, Objects Detected: 3
Time: 2025-02-20 15:20:31, FPS: 18, Objects Detected: 4
Time: 2025-02-20 15:20:31, FPS: 16, Objects Detected: 3
Time: 2025-02-20 15:20:31, FPS: 17, Objects Detected: 3
Time: 2025-02-20 15:20:31, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:31, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:31, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:31, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:31, FPS: 16, Objects Detected: 3
Time: 2025-02-20 15:20:32, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:32, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:32, FPS: 19, Objects Detected: 3
Time: 2025-02-20 15:20:32, FPS: 19, Objects Detected: 3
Time: 2025-02-20 15:20:32, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:32, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:32, FPS: 17, Objects Detected: 3
Time: 2025-02-20 15:20:32, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:32, FPS: 17, Objects Detected: 4
Time: 2025-02-20 15:20:32, FPS: 17, Objects Detected: 4
Time: 2025-02-20 15:20:32, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:32, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:32, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:32, FPS: 17, Objects Detected: 3
Time: 2025-02-20 15:20:32, FPS: 19, Objects Detected: 3
Time: 2025-02-20 15:20:32, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:32, FPS: 18, Objects Detected: 3
Time: 2025-02-20 15:20:32, FPS: 17, Objects Detected: 3
Time: 2025-02-20 15:20:33, FPS: 16, Objects Detected: 2
Time: 2025-02-20 15:20:33, FPS: 18, Objects Detected: 2
Time: 2025-02-20 15:20:33, FPS: 19, Objects Detected: 2
Time: 2025-02-20 15:20:33, FPS: 19, Objects Detected: 2
